Date,Close,Volume,Open,High,Low
11/28/18,"$1,677.75 ",8429894,"$1,613.92 ","$1,681.45 ","$1,601.22 "
11/27/18,"$1,581.42 ",5758441,"$1,575.99 ","$1,597.65 ","$1,558.01 "
11/26/18,"$1,581.33 ",6226531,"$1,539 ","$1,584.81 ","$1,524.22 "
11/23/18,"$1,502.06 ",2707642,"$1,517 ","$1,536.20 ","$1,501.81 "
11/21/18,"$1,516.73 ",5707400,"$1,542.99 ","$1,550 ","$1,515 "
11/20/18,"$1,495.46 ",10824410,"$1,437.50 ","$1,534.75 ","$1,420 "
11/19/18,"$1,512.29 ",7741370,"$1,577.01 ","$1,581.19 ","$1,503.36 "
11/16/18,"$1,593.41 ",6057199,"$1,587.50 ","$1,614.48 ","$1,573.12 "
11/15/18,"$1,619.44 ",8379824,"$1,581.01 ","$1,624.82 ","$1,546.51 "
11/14/18,"$1,599.01 ",6439170,"$1,656.32 ","$1,673.00 ","$1,597.07 "
11/13/18,"$1,631.17 ",5901499,"$1,649.29 ","$1,677.06 ","$1,613.75 "
11/12/18,"$1,636.85 ",6763693,"$1,698.24 ","$1,708.55 ","$1,630.01 "
11/9/18,"$1,712.43 ",5892058,"$1,732.50 ","$1,743.92 ","$1,701.87 "
11/8/18,"$1,754.91 ",6520345,"$1,755 ","$1,784 ","$1,725.11 "
11/7/18,"$1,755.49 ",8166777,"$1,673 ","$1,759.23 ","$1,664.08 "
11/6/18,"$1,642.81 ",4206093,"$1,618.35 ","$1,665 ","$1,614.55 "
11/5/18,"$1,627.80 ",5615749,"$1,657.57 ","$1,658.09 ","$1,596.36 "
11/2/18,"$1,665.53 ",6932644,"$1,678.59 ","$1,697.44 ","$1,651.83 "
11/1/18,"$1,665.53 ",8054045,"$1,623.53 ","$1,670.45 ","$1,598.44 "
10/31/18,"$1,598.01 ",9372899,"$1,569.99 ","$1,623.91 ","$1,565.09 "
10/30/18,"$1,530.42 ",12395130,"$1,486.16 ","$1,540.99 ","$1,476.36 "
10/29/18,"$1,538.88 ",13791810,"$1,660 ","$1,665.74 ","$1,495 "
10/26/18,"$1,642.81 ",14941860,"$1,649.59 ","$1,698.46 ","$1,603 "
10/25/18,"$1,782.17 ",9941447,"$1,703.34 ","$1,794.81 ","$1,692.01 "
10/24/18,"$1,664.20 ",6845123,"$1,773.70 ","$1,777.71 ","$1,656.56 "
10/23/18,"$1,768.70 ",6705686,"$1,742.24 ","$1,776.34 ","$1,714 "
10/22/18,"$1,789.30 ",4481334,"$1,784 ","$1,809.50 ","$1,756 "
10/19/18,"$1,764.03 ",5854417,"$1,785.16 ","$1,809.10 ","$1,753 "
10/18/18,"$1,770.72 ",5839352,"$1,821.49 ","$1,830.15 ","$1,767.87 "
10/17/18,"$1,831.73 ",5282597,"$1,842.79 ","$1,845 ","$1,807 "
10/16/18,"$1,819.96 ",5826985,"$1,783.50 ","$1,823.88 ","$1,761.55 "
10/15/18,"$1,760.95 ",6360606,"$1,795 ","$1,795.05 ","$1,734.23 "
10/12/18,"$1,788.61 ",9385256,"$1,808 ","$1,808.95 ","$1,742.53 "
10/11/18,"$1,719.36 ",13858970,"$1,724 ","$1,755.40 ","$1,685.10 "
10/10/18,"$1,755.25 ",10878990,"$1,857.89 ","$1,858.56 ","$1,754.41 "
10/9/18,"$1,870.32 ",4732430,"$1,859.99 ","$1,896.68 ","$1,852.32 "
10/8/18,"$1,864.42 ",7346828,"$1,874 ","$1,902.00 ","$1,830.66 "
10/5/18,"$1,889.65 ",6816213,"$1,917.99 ","$1,929.08 ","$1,862.83 "
10/4/18,"$1,909.42 ",7240549,"$1,949 ","$1,956 ","$1,896.57 "
10/3/18,"$1,952.76 ",5167224,"$1,981.70 ","$1,989.70 ","$1,949.81 "
10/2/18,"$1,971.31 ",5360924,"$1,999.99 ","$2,013.39 ","$1,965.77 "
10/1/18,"$2,004.36 ",3457725,"$2,021.99 ","$2,033.19 ","$2,003.60 "
9/28/18,"$2,003 ",3991574,"$2,004.41 ","$2,026.52 ","$1,996.46 "
9/27/18,"$2,012.98 ",4295758,"$1,993.24 ","$2,016.16 ","$1,988.58 "
9/26/18,"$1,974.85 ",4262097,"$1,968.50 ","$1,995.25 ","$1,961.52 "
9/25/18,"$1,974.55 ",4351662,"$1,942.90 ","$1,975.91 ","$1,938.85 "
9/24/18,"$1,934.36 ",4146563,"$1,903.79 ","$1,936.88 ","$1,865 "
9/21/18,"$1,915.01 ",6774727,"$1,954.22 ","$1,957.31 ","$1,910.50 "
9/20/18,"$1,944.30 ",3142025,"$1,938.58 ","$1,955 ","$1,932.25 "
9/19/18,"$1,926.42 ",4037641,"$1,940.50 ","$1,940.83 ","$1,904.90 "
9/18/18,"$1,941.05 ",4231892,"$1,918.65 ","$1,958.20 ","$1,915.44 "
9/17/18,"$1,908.03 ",6981550,"$1,954.73 ","$1,956.82 ","$1,887.41 "
9/14/18,"$1,970.19 ",3587896,"$1,992.93 ","$1,993.65 ","$1,959.22 "
9/13/18,"$1,989.87 ",3605398,"$2,000 ","$2,008.76 ","$1,982.03 "
9/12/18,"$1,990 ",4407334,"$1,994 ","$2,000 ","$1,962.44 "
9/11/18,"$1,987.15 ",5016780,"$1,928.27 ","$1,988.88 ","$1,917 "
9/10/18,"$1,939.01 ",4481091,"$1,971 ","$1,973.04 ","$1,931.52 "
9/7/18,"$1,952.07 ",4856982,"$1,938.71 ","$1,975.20 ","$1,937.35 "
9/6/18,"$1,958.31 ",7473086,"$2,006.51 ","$2,007.50 ","$1,935.21 "
9/5/18,"$1,994.82 ",8197117,"$2,038.11 ","$2,040.38 ","$1,989.89 "
9/4/18,"$2,039.51 ",5703128,"$2,026.50 ","$2,050.50 ","$2,013 "
8/31/18,"$2,012.71 ",4148432,"$2,007 ","$2,022.38 ","$2,004.74 "
8/30/18,"$2,002.38 ",7254573,"$1,997.42 ","$2,025.57 ","$1,986.90 "
8/29/18,"$1,998.10 ",6432354,"$1,953.45 ","$1,998.69 ","$1,948.94 "
8/28/18,"$1,932.82 ",3070482,"$1,937.73 ","$1,941.78 ","$1,928.82 "
8/27/18,"$1,927.68 ",3546496,"$1,915 ","$1,927.70 ","$1,909.28 "
8/24/18,"$1,905.39 ",2781770,"$1,910.51 ","$1,916.01 ","$1,902.54 "
8/23/18,"$1,902.90 ",3548197,"$1,907.17 ","$1,919.50 ","$1,900.76 "
8/22/18,"$1,904.90 ",3058369,"$1,876.64 ","$1,905.80 ","$1,876.64 "
8/21/18,"$1,883.42 ",3068215,"$1,880 ","$1,897.75 ","$1,874.41 "
8/20/18,"$1,876.71 ",2854320,"$1,890.57 ","$1,891.75 ","$1,866.06 "
8/17/18,"$1,882.22 ",4088548,"$1,885.80 ","$1,888 ","$1,855.55 "
8/16/18,"$1,886.52 ",3884253,"$1,903.94 ","$1,905 ","$1,883.55 "
8/15/18,"$1,882.62 ",7658108,"$1,909.55 ","$1,916.21 ","$1,869.79 "
8/14/18,"$1,919.65 ",3918758,"$1,919.39 ","$1,921.01 ","$1,900 "
8/13/18,"$1,896.20 ",5508481,"$1,898.50 ","$1,925 ","$1,893.67 "
8/10/18,"$1,886.30 ",3623734,"$1,888.51 ","$1,899.50 ","$1,878.21 "
8/9/18,"$1,898.52 ",4844363,"$1,882 ","$1,914.57 ","$1,877.48 "
8/8/18,"$1,886.52 ",3922462,"$1,861 ","$1,891.51 ","$1,854.50 "
8/7/18,"$1,862.48 ",3332789,"$1,854.53 ","$1,869.72 ","$1,846.27 "
8/6/18,"$1,847.75 ",3383971,"$1,825.81 ","$1,847.77 ","$1,818.92 "
8/3/18,"$1,823.29 ",3454718,"$1,837.74 ","$1,841 ","$1,821.50 "
8/2/18,"$1,834.33 ",4337911,"$1,788.77 ","$1,836.56 ","$1,786 "
8/1/18,"$1,797.17 ",4139144,"$1,784 ","$1,798.44 ","$1,776.02 "
7/31/18,"$1,777.44 ",5716449,"$1,786.49 ","$1,801.83 ","$1,739.32 "
7/30/18,"$1,779.22 ",6542712,"$1,827.33 ","$1,829.50 ","$1,766.02 "
7/27/18,"$1,817.27 ",9670042,"$1,876.05 ","$1,880.05 ","$1,806.53 "
7/26/18,"$1,808 ",9637399,"$1,839 ","$1,844.68 ","$1,804.50 "
7/25/18,"$1,863.61 ",3657664,"$1,829.30 ","$1,863.84 ","$1,822.64 "
7/24/18,"$1,829.24 ",4228340,"$1,829.01 ","$1,840 ","$1,809.38 "
